Product Name,brand,Image URL,Price,mst,desc,hex,product_type,product,imgSrc,price,makeup_products,products
Liptide pH Lip Oil,BYOMA,https://media.ulta.com/i/ulta/2621901?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.99,Light,Beautiful liptide ph lip oil for a flawless finish,#a579ba,Lipstick,Liptide pH Lip Oil,https://media.ulta.com/i/ulta/2621901?w=400&$ProductCardNeutralBGLight$&fmt=auto,11.99,,
IT Brushes for ULTA x Wicked Limited-Edition Blush & Foundation Makeup Brush Set,IT Brushes For ULTA,https://media.ulta.com/i/ulta/2630786?w=400&$ProductCardNeutralBGLight$&fmt=auto,19.75,Deep,Beautiful it brushes for ulta x wicked limited-edition blush & foundation makeup brush set for a flawless finish,#31ae0f,Foundation,IT Brushes for ULTA x Wicked Limited-Edition Blush & Foundation Makeup Brush Set,https://media.ulta.com/i/ulta/2630786?w=400&$ProductCardNeutralBGLight$&fmt=auto,19.75,,
Mamaearth Glow Serum Foundation,Mamaearth,https://www.nykaa.com/beauty-blog/wp-content/uploads/images/issue339/Summer-Makeup-Kit_3.jpg,,Medium,Beautiful mamaearth glow serum foundation for a flawless finish,#96ed12,Foundation,Mamaearth Glow Serum Foundation,https://www.nykaa.com/beauty-blog/wp-content/uploads/images/issue339/Summer-Makeup-Kit_3.jpg,,,
Nykaa Black Magic Smudgeproof Kajal Eyeliner Pencil Lasts Upto 24 Hours - Black,Nykaa,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/f/2/f2fe195NYKAC00000132-az_1.jpg",132.0,Rich,Beautiful nykaa black magic smudgeproof kajal eyeliner pencil lasts upto 24 hours - black for a flawless finish,#29d6d0,Eyeliner,Nykaa Black Magic Smudgeproof Kajal Eyeliner Pencil Lasts Upto 24 Hours - Black,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/f/2/f2fe195NYKAC00000132-az_1.jpg",132.0,,
Mamaearth Soft Matte Long Stay Lipsticks,Mamaearth,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/2/7/27886b88904417306002_1.png",359.0,Deep,Beautiful mamaearth soft matte long stay lipsticks for a flawless finish,#ceb2fb,Lipstick,Mamaearth Soft Matte Long Stay Lipsticks,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/2/7/27886b88904417306002_1.png",359.0,,
Kiss The New Natural Lash Multipack,Kiss,https://media.ulta.com/i/ulta/2619127?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.44,Deep,Beautiful kiss the new natural lash multipack for a flawless finish,#01db6f,Mascara,Kiss The New Natural Lash Multipack,https://media.ulta.com/i/ulta/2619127?w=400&$ProductCardNeutralBGLight$&fmt=auto,9.44,,
Essence Extreme Shine Volume Lipgloss,Essence,https://media.ulta.com/i/ulta/2590851?w=400&$ProductCardNeutralBGLight$&fmt=auto,3.99,Rich,Beautiful essence extreme shine volume lipgloss for a flawless finish,#21142b,Lipstick,Essence Extreme Shine Volume Lipgloss,https://media.ulta.com/i/ulta/2590851?w=400&$ProductCardNeutralBGLight$&fmt=auto,3.99,,
Nudestix Mini Nudies,Nudestix,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/7/4/74f108f839174008365_1.jpg",3500.0,Light,Beautiful nudestix mini nudies for a flawless finish,#7d9f7a,Makeup,Nudestix Mini Nudies,"https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/7/4/74f108f839174008365_1.jpg",3500.0,,
Futurist Skin Tint Serum Foundation SPF 20,Estée Lauder,https://media.ulta.com/i/ulta/2612382?w=400&$ProductCardNeutralBGLight$&fmt=auto,55.0,Light,Beautiful futurist skin tint serum foundation spf 20 for a flawless finish,#a05155,Foundation,Futurist Skin Tint Serum Foundation SPF 20,https://media.ulta.com/i/ulta/2612382?w=400&$ProductCardNeutralBGLight$&fmt=auto,55.0,,
Eilish Eau de Parfum,Billie Eilish,https://media.ulta.com/i/ulta/2594570?w=400&$ProductCardNeutralBGLight$&fmt=auto,68.0,Medium,Beautiful eilish eau de parfum for a flawless finish,#766d48,Makeup,Eilish Eau de Parfum,https://media.ulta.com/i/ulta/2594570?w=400&$ProductCardNeutralBGLight$&fmt=auto,68.0,,
