skin_tone,suitable_colors
Spring,"coral, peach, light gold, warm turquoise, soft greens"
Summer,"lavender, soft pinks, powder blue, dusty rose"
Autumn,"mustard, rust, olive, burnt orange"
Winter,"black, navy, true white, emerald, royal blue"
Light Spring,"peach, mint, coral"
Warm Spring,"warm beige, golden yellow, apricot"
Clear Spring,"turquoise, clear yellow, bright coral"
Light Summer,"lavender, powder blue, dusty rose"
Soft Summer,"slate blue, soft plum, moss green"
Cool Summer,"clear blues, soft fuchsias, cool pinks"
Soft Autumn,"taupe, sage, terracotta"
Warm Autumn,"mustard, rust, olive"
Deep Autumn,"burgundy, chocolate, deep teal"
Cool Winter,"navy, cool red, black"
Clear Winter,"emerald, fuchsia, royal blue"
Deep Winter,"deep purples, rich blues, crisp whites"
Cool Winter,"Emerald, cobalt blue, cherry, sapphire, bright navy, amethyst, bottle-green, fuchsia, cool ruby"
Clear Winter,"Hot pink, cobalt blue, true red, violet, sapphire, azure, ice pink, acid yellow, emerald, light grey marle"
Deep Winter,"Deep claret, forest green, oakmoss, true red, garnet, navy, turquoise, cool ruby, chestnut red, sapphire, amethyst, white"
