skin_tone,suitable_colors
Light Spring,"Coral, Peach, Light Gold, Warm Turquoise, Soft Green"
Light Summer,"Lavender, Powder Blue, Dusty Rose, Slate Blue, Soft Plum"
Warm Spring,"Coral Red, Turquoise, Golden Yellow, Peach, Clear Yellow"
Clear Spring,"Bright Coral, Turquoise Blue, Ocean Blue, Sage Green, Soft Pink"
Soft Summer,"Moss Green, Clear Blue, Soft Fuchsia, Cool Pink, Lavender"
Cool Summer,"Royal Purple, Indian Red, Light Sea Green, Royal Blue, Dark Olive Green"
Soft Autumn,"Mustard, Rust, Olive, Burnt Orange, Taupe"
Warm Autumn,"Terracotta, Burgundy, Chocolate, Deep Teal, Olive Green"
Deep Autumn,"Dark Orange, Navy Blue, Maroon, Olive Green, Midnight Blue"
Deep Winter,"Saddle Brown, Purple, Red, Lime, Emerald"
Cool Winter,"Fuchsia, Deep Purple, Rich Blue, Crisp White, Cool Red"
Clear Winter,"Cobalt Blue, Cherry, Sapphire, Bright Navy, Amethyst"
Monk01,"Bottle-green, Cool Ruby, Hot Pink, True Red, Violet"
Monk02,"Azure, Ice Pink, Acid Yellow, Light Grey Marle, Deep Claret"
Monk03,"Forest Green, Oakmoss, Garnet, Chestnut Red, Burgundy"
